Account address,Hide notifications
@11FREUNDE@flipboard.com,true
@19thnews@flipboard.com,true
@20Minutes@flipboard.com,true
@20Minutos@flipboard.com,true
@247Sports@flipboard.com,true
@404mediaco@mastodon.social,true
@90min_BR@flipboard.com,true
@90min_DE@flipboard.com,true
@90min@flipboard.com,true
@9to5google@flipboard.com,true
@9to5mac@flipboard.com,true
@abc@flipboard.com,true
@ad_germany@flipboard.com,true
@ADmagazinefr@flipboard.com,true
@Adrenalinebr@flipboard.com,true
@adventurefix@flipboard.com,true
@Adweek@flipboard.com,true
@AfarMedia@flipboard.com,true
@Agenzia_Italia@flipboard.com,true
@AgenziaAnsa@flipboard.com,true
@ajcnews@flipboard.com,true
@alcomnews@flipboard.com,true
@AlJazeera@flipboard.com,true
@Allrecipes@flipboard.com,true
@Allure@flipboard.com,true
@AltaJournal@flipboard.com,true
@AltPress@flipboard.com,true
@AmericanSailing@flipboard.com,true
@AmericanSong@flipboard.com,true
@AnalogPlanet@flipboard.com,true
@Androidauth@flipboard.com,true
@Antena3tv@flipboard.com,true
@AnthropoceneMag@flipboard.com,true
@AntjeZimmer2018@flipboard.com,true
@AptTherapy@flipboard.com,true
@ArchDigest@flipboard.com,true
@ArsTechnica@flipboard.com,true
@arstechnica@mastodon.social,true
@ArtNews@flipboard.com,true
@AskMen@flipboard.com,true
@AssociatedPress@flipboard.com,true
@AtlasObscura@flipboard.com,true
@AustinMonitor@flipboard.com,true
@Autoblog@flipboard.com,true
@AutoPapo@flipboard.com,true
@Autosportcom@flipboard.com,true
@Autoweek2019@flipboard.com,true
@AVClub@flipboard.com,true
@AxiosNews@flipboard.com,true
@AZMuenchen@flipboard.com,true
@Bababam@flipboard.com,true
​​@BackpackerMag@flipboard.com,true
@BackpackerMag@flipboard.com,true
@Band@flipboard.com,true
@Barrons@flipboard.com,true
@BASICthinking@flipboard.com,true
@BasketballNet@flipboard.com,true
@BBC5Live@social.bbc,true
@BBCBrasil@flipboard.com,true
@BBCNews@flipboard.com,true
@BBCWildlife@flipboard.com,true
@Behscientist@flipboard.com,true
@Bellingcat@mstdn.social,true
@BerkeleyScanner@flipboard.com,true
@bert007@flipboard.com,true
@BGR@flipboard.com,true
@BHG@flipboard.com,true
@Bicycling@flipboard.com,true
@biespana@flipboard.com,true
@BigIssue@flipboard.com,true
@BikeMag@flipboard.com,true
@BikeRadar@flipboard.com,true
@Billboard@flipboard.com,true
@BlackEnterp2018@flipboard.com,true
@BlackPressMedia@flipboard.com,true
@Blavity@flipboard.com,true
@BleacherNation@flipboard.com,true
@BleacherReport@flipboard.com,true
@BlockClubCh@flipboard.com ,true
@blogTO@flipboard.com,true
@bloomberg@flipboard.com,true
@BloombergGreen@flipboard.com,true
@Bobby_Berk@flipboard.com,true
@BobVilacom@flipboard.com,true
@bonappetit@flipboard.com,true
@BookRiot@flipboard.com,true
@Bossip@flipboard.com,true
@bravo@flipboard.com,true
@Brides@flipboard.com,true
@Brigitte_DE@flipboard.com,true
@britandco@flipboard.com,true
@BritishGQ@flipboard.com,true
@BritishVogue@flipboard.com,true
@BUNTE_DE@flipboard.com,true
@BusinessInsider@flipboard.com,true
@BusinessofHome@flipboard.com,true
@BusinessPunk@flipboard.com,true
@Businessweek@flipboard.com,true
@Bustle_BDGMedia@flipboard.com,true
@byrdiebeauty@flipboard.com,true
@calgaryherald@flipboard.com,true
@CALMatters@flipboard.com,true
@CanadianAffairs@flipboard.com,true
@canaltech@flipboard.com,true
@CapitalMagazin@flipboard.com,true
@CarandDriver,true
@CarandDriver@flipboard.com,true
@CasaeJardim@flipboard.com,true
@CasaVOGUE@flipboard.com,true
@CassiusLife@flipboard.com,true
@Castlemaker@flipboard.com,true
@CavaliersNation@flipboard.com,true
@cbcnews@flipboard.com,true
@CBRcom@flipboard.com,true
@CBSNews@flipboard.com,true
@cbssports@flipboard.com,true
@cdncyclingmag@flipboard.com,true
@CFR_org@flipboard.com,true
@CGMagazine@flipboard.com,true
@chalkbeat@flipboard.com,true
@ChatelaineMag@flipboard.com,true
@chefkochde@flipboard.com,true
@ChicagoSunTimes@flipboard.com,true
@chicagotribune@flipboard.com,true
@CHIP_online@flipboard.com,true
@chowhound@flipboard.com ,true
@Chron@newsie.social,true
@CicloVivo@flipboard.com,true
@Cinemaeafins@flipboard.com,true
@CinePOP2018@flipboard.com,true
@CityAM@flipboard.com,true
@citylab@flipboard.com,true
@CivilEats@flipboard.com,true
@clevelandnews@flipboard.com ,true
@Climate247@flipboard.com,true
@Climbing@flipboard.com,true
@CloudLine@flipboard.com,true
@cnet@flipboard.com,true
@CNETCars@flipboard.com,true
@CNN@flipboard.com,true
@CNNBrasil@flipboard.com,true
@cntraveler@flipboard.com,true
@CNTravelerSpain@flipboard.com,true
@cntraveller@flipboard.com,true
@cntravellerde@flipboard.com,true
@Codeberg@social.anoxinon.de,true
@coloradosun@mstdn.social,true
@ColumbusDispatc@flipboard.com,true
@ComicBookcom@flipboard.com,true
@ConsumerReports@flipboard.com,true
@Conversation_E@flipboard.com,true
@ConversationCA@flipboard.com,true
@ConversationFR@flipboard.com,true
@ConversationUK@flipboard.com,true
@ConversationUS@flipboard.com,true
@CookWhatYouLove@flipboard.com,true
@cortexbrand@threads.net,true
@cosmopolitan@flipboard.com,true
@CosmopolitanDE@flipboard.com,true
@CosmopolitanIta@flipboard.com,true
@CosmopolitanUK@flipboard.com,true
@CottageLife2018@flipboard.com,true
@Couchflucht@flipboard.com,true
@CountryLiving@flipboard.com,true
@CountryLivingUK@flipboard.com,true
@CourrierInter@flipboard.com,true
@CPublicPress@flipboard.com,true
@CreativeBloq@flipboard.com,true
@creativecommons@mastodon.social,true
@Crosscut_News@flipboard.com,true
